author,place of birth,pob_Latitude,pob_Longitude,country of citizenship,coc_Latitude,coc_Longitude,authorLabel,work,workTitle
Anne Sechin,France,47,2,Canada,56,-109,Anne Sechin,http://www.wikidata.org/entity/Q124959406,Diapason
Claire Silvera Rochon,Ottawa,45.424722222222,-75.695,France,47,2,Claire Silvera Rochon,http://www.wikidata.org/entity/Q124959279,Baisers d'ailleurs
,,,,Canada,56,-109,,,
François Dimberton,Villeneuve-Saint-Georges,48.7325,2.4497222222222,France,47,2,François Dimberton,http://www.wikidata.org/entity/Q124959277,Au secours !
François Dimberton,Villeneuve-Saint-Georges,48.7325,2.4497222222222,France,47,2,François Dimberton,http://www.wikidata.org/entity/Q124959324,Histoire de galet
Françoise Lepage,Saint-Amand-Montrond,46.722777777778,2.505,France,47,2,Françoise Lepage,http://www.wikidata.org/entity/Q124959237,Les Chercheurs d'étoiles
Françoise Lepage,Saint-Amand-Montrond,46.722777777778,2.505,France,47,2,Françoise Lepage,http://www.wikidata.org/entity/Q124959239,Poupeska
Pierre Léon,Ligré,47.112222222222,0.27527777777778,France,47,2,Pierre Léon,http://www.wikidata.org/entity/Q124959256,Un Huron en Alsace
Jean-Claude Bauer,Haillicourt,50.476111111111,2.5847222222222,France,47,2,Jean-Claude Bauer,http://www.wikidata.org/entity/Q124959277,Au secours !
Françoise Enguehard,Saint Pierre and Miquelon,46.85,-56.3,France,47,2,Françoise Enguehard,http://www.wikidata.org/entity/Q124959430,L'Archipel du docteur Thomas
,,,,Canada,56,-109,,,
Françoise Lepage,Saint-Amand-Montrond,46.722777777778,2.505,France,47,2,Françoise Lepage,http://www.wikidata.org/entity/Q124959435,Le Collier de la duchesse
Vittorio Frigerio,Mendrisio,45.866666666667,8.9833333333333,Italy,42.5,12.5,Vittorio Frigerio,http://www.wikidata.org/entity/Q124959423,La Cathédrale sur l'océan
,,,,Switzerland,46.798562,8.231973,,,
,,,,Canada,56,-109,,,
René Bonnière,Lyon,45.7675,4.835,France,47,2,René Bonnière,http://www.wikidata.org/entity/Q124959586,Le Miracle de la chasse-galerie
,,,,Canada,56,-109,,,
Aziza Rahmouni,Morocco,32,-6,Morocco,32,-6,Aziza Rahmouni,http://www.wikidata.org/entity/Q124959634,Nomadismes
Daniel Soha,Aix-en-Provence,43.527777777778,5.4455555555556,France,47,2,Daniel Soha,http://www.wikidata.org/entity/Q124960131,Chroniques tziganes
Jean-François Somain,Paris,48.85666666666667,2.352222222222222,France,47,2,Jean-François Somain,http://www.wikidata.org/entity/Q124959713,La Jeune Femme de Tokyo
Maurice Henrie,Rockland,45.55,-75.2833,France,47,2,Maurice Henrie,http://www.wikidata.org/entity/Q124959631,Ne pleure pas Jeannette
,,,,Canada,56,-109,,,
Sandrine Midopé Djengué,France,47,2,France,47,2,Sandrine Midopé Djengué,http://www.wikidata.org/entity/Q124959670,Tsibilis
