work,workLabel,author,authorLabel,Place of Birth,Place of Birth coordinates,ethnicity,ethnicityLabel,pubPlace,pubPlace coordinates,derivativeWork,derivativeWorkLabel,relationType,relationTypeLabel
A Really Good Brown Girl,A Really Good Brown Girl,Marilyn Dumont,Marilyn Dumont,Olds,"51.79566633241424, -114.12008470566239",Métis,Métis,London,"42.982930071597806, -81.25344054750204",A Really Good Brown Girl,A Really Good Brown Girl,http://www.wikidata.org/entity/P629,edition or translation of
The Pemmican Eaters,The Pemmican Eaters,Marilyn Dumont,Marilyn Dumont,Olds,"51.79566633241424, -114.12008470566239",Métis,Métis,Toronto,"43.65059181183025, -79.39180486932116",The Pemmican Eaters,The Pemmican Eaters,http://www.wikidata.org/entity/P629,edition or translation of
green girl dreams Mountains,green girl dreams Mountains,Marilyn Dumont,Marilyn Dumont,Olds,"51.79566633241424, -114.12008470566239",Métis,Métis,Lantzville,"49.250397944915534, -124.07502159818615",green girl dreams Mountains,green girl dreams Mountains,http://www.wikidata.org/entity/P629,edition or translation of
that tongued belonging,that tongued belonging,Marilyn Dumont,Marilyn Dumont,Olds,"51.79566633241424, -114.12008470566239",Métis,Métis,Wiarton,"44.74227475761718, -81.14080630644796",that tongued belonging,that tongued belonging,http://www.wikidata.org/entity/P629,edition or translation of
Red Spider White Web,Red Spider White Web,Misha,Misha,Saint Paul,"44.954445, -93.091301",Métis,Métis,New York City,"40.71223695337101, -74.01109169168261",Death Is Static Death Is Movement,Death Is Static Death Is Movement,http://www.wikidata.org/entity/P629,edition or translation of
Sanaaq,Sanaaq,Mitiarjuk Nappaaluk,Mitiarjuk Nappaaluk,Nord-du-Québec,"58.433, -71.483",Inuit,Inuit,Winnipeg,"49.89393353031302, -97.13225252387606",,,,
committing a dream / pawâkan Palestine,committing a dream / pawâkan Palestine,Moe Clark,Moe Clark,Calgary,"51.049999, -114.066666",Métis,Métis,Spoken-Word Poetry,,,,,
Indian Horse,Indian Horse,Richard Wagamese,Richard Wagamese,Minaki,49.98639; -94.67000,Ojibwe,Ojibwe,Vancouver,"49.282795866487184, -123.1208171652775",Indian Horse,Indian Horse,http://www.wikidata.org/entity/P629,edition or translation of
Medicine Walk,Medicine Walk,Richard Wagamese,Richard Wagamese,Minaki,49.98639; -94.67000,Ojibwe,Ojibwe,Toronto,"43.65108862066948, -79.38150486601133",,,,
The Right to Be Cold,The Right to Be Cold,Sheila Watt-Cloutier,Sheila Watt-Cloutier,Minneapolis,"44.9772995, -93.2654692",Inuit,Inuit,Q1543830,"58.10436569234979, -68.4219151055418",,,,
Split Tooth,Split Tooth,Tagaq,Tagaq,Toronto,"43.70643, -79.39864",Inuit,Inuit,Cambridge Bay,"69.11706290981058, -105.06479566565386",http://www.wikidata.org/entity/Q136489086,Split Tooth,http://www.wikidata.org/entity/P144,based on
All We Can Save,All We Can Save,Tara Houska,Tara Houska,New York City,"40.7127281, -74.0060152",Ojibwe,Ojibwe,Minnesota,"46.16816423794182, -94.77684313994925",,,,
Talk Treaty to Me,Talk Treaty to Me,Theresa Cutknife,Theresa Cutknife,Yellowknife,"62.456, -114.35255",Cree,Cree,Maskwacis,"52.834897670389935, -113.44497544696884",http://www.wikidata.org/entity/Q127510762,Talk Treaty to Me,http://www.wikidata.org/entity/P144,based on
Dry Lips Oughta Move to Kapuskasing,Dry Lips Oughta Move to Kapuskasing,Tomson Highway,Tomson Highway,Northern Region,"56.415211, -98.739075",Cree,Cree,Toronto,"43.65059181183025, -79.39180486932116",,,,
Kiss of the Fur Queen,Kiss of the Fur Queen,Tomson Highway,Tomson Highway,Northern Region,"56.415211, -98.739075",Cree,Cree,Toronto,"43.65059181183025, -79.39180486932116",,,,
Rose,Rose,Tomson Highway,Tomson Highway,Northern Region,"56.415211, -98.739075",Cree,Cree,Montreal,"45.499898247690375, -73.5711241628432",,,,
The Rez Sisters,The Rez Sisters,Tomson Highway,Tomson Highway,Northern Region,"56.415211, -98.739075",Cree,Cree,Saskatoon,"52.160469685965886, -106.66304863114804",,,,
Birdie,Birdie,Tracey Lindberg,Tracey Lindberg,British Columbia,"53.726669, -127.647621",Métis,Métis,Toronto,"43.65059181183025, -79.39180486932116",,,,
