Unnamed: 0,query (5),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,work,workLabel,relation,date,language,languageLabel,country,countryLabel,place,placeLabel,lat,lon,origWork,origTitle
,http://www.wikidata.org/entity/Q102448,Harry Potter and the Prisoner of Azkaban,based_on,2004-06-02T00:00:00Z,,,http://www.wikidata.org/entity/Q30,United States,,,,,http://www.wikidata.org/entity/Q47598,Harry Potter and the Prisoner of Azkaban
,http://www.wikidata.org/entity/Q254851,Harry Potter and the Order of the Phoenix,based_on,2007-07-13T00:00:00Z,http://www.wikidata.org/entity/Q1321,Spanish,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q80817,Harry Potter and the Order of the Phoenix
,http://www.wikidata.org/entity/Q254851,Harry Potter and the Order of the Phoenix,based_on,2007-07-13T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q80817,Harry Potter and the Order of the Phoenix
,http://www.wikidata.org/entity/Q102448,Harry Potter and the Prisoner of Azkaban,based_on,2004-05-31T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q47598,Harry Potter and the Prisoner of Azkaban
,http://www.wikidata.org/entity/Q102225,Harry Potter and the Goblet of Fire,based_on,2005-11-18T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q46751,Harry Potter and the Goblet of Fire
,http://www.wikidata.org/entity/Q665733,Harry Potter and the Deathly Hallows – Part 1,based_on,2010-11-16T00:00:00Z,http://www.wikidata.org/entity/Q5287,Japanese,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q46758,Harry Potter and the Deathly Hallows
,http://www.wikidata.org/entity/Q102235,Harry Potter and the Order of the Phoenix,based_on,2007-07-12T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q80817,Harry Potter and the Order of the Phoenix
,http://www.wikidata.org/entity/Q102244,Harry Potter and the Chamber of Secrets,based_on,2002-11-28T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q47209,Harry Potter and the Chamber of Secrets
,http://www.wikidata.org/entity/Q665733,Harry Potter and the Deathly Hallows – Part 1,based_on,2011-06-25T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q46758,Harry Potter and the Deathly Hallows
,http://www.wikidata.org/entity/Q232009,Harry Potter and the Deathly Hallows – Part 2,based_on,2011-07-15T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q46758,Harry Potter and the Deathly Hallows
,http://www.wikidata.org/entity/Q102244,Harry Potter and the Chamber of Secrets,based_on,2003-02-26T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q47209,Harry Potter and the Chamber of Secrets
,http://www.wikidata.org/entity/Q102225,Harry Potter and the Goblet of Fire,based_on,2005-11-06T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q46751,Harry Potter and the Goblet of Fire
