work,workLabel,origWork,origWorkLabel,relation,date,language,languageLabel,place,placeLabel,coord
http://www.wikidata.org/entity/Q60532559,Kupiec wenecki,http://www.wikidata.org/entity/Q206400,The Merchant of Venice,edition_or_translation_of,1923-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q623594,Zolochiv,Point(24.903061305 49.807490888)
http://www.wikidata.org/entity/Q61745776,"Hamlet (1839, transl. Hołowiński)",http://www.wikidata.org/entity/Q41567,Hamlet,edition_or_translation_of,1839-01-01T00:00:00Z,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q216,Vilnius,Point(25.28 54.687222222)
http://www.wikidata.org/entity/Q61781056,The Merchant of Venice,http://www.wikidata.org/entity/Q206400,The Merchant of Venice,edition_or_translation_of,1923-02-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q49145,New Haven,Point(-72.925 41.308333333)
http://www.wikidata.org/entity/Q61782228,The Merry Wives of Windsor,http://www.wikidata.org/entity/Q844836,The Merry Wives of Windsor,edition_or_translation_of,1922-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q49145,New Haven,Point(-72.925 41.308333333)
http://www.wikidata.org/entity/Q61793522,As You Like It,http://www.wikidata.org/entity/Q237572,As You Like It,edition_or_translation_of,1919-10-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q49145,New Haven,Point(-72.925 41.308333333)
http://www.wikidata.org/entity/Q61795422,Much Ado About Nothing,http://www.wikidata.org/entity/Q130851,Much Ado About Nothing,edition_or_translation_of,1917-07-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q49145,New Haven,Point(-72.925 41.308333333)
http://www.wikidata.org/entity/Q61829965,A Midsummer Night's Dream,http://www.wikidata.org/entity/Q104871,A Midsummer Night's Dream,edition_or_translation_of,1918-09-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q49145,New Haven,Point(-72.925 41.308333333)
http://www.wikidata.org/entity/Q61862766,The Second Part of King Henry the Sixth,http://www.wikidata.org/entity/Q1236216,"Henry VI, Part 2",edition_or_translation_of,1923-11-23T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q49145,New Haven,Point(-72.925 41.308333333)
http://www.wikidata.org/entity/Q62065561,The Taming of the Shrew,http://www.wikidata.org/entity/Q332387,The Taming of the Shrew,edition_or_translation_of,1921-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q49145,New Haven,Point(-72.925 41.308333333)
http://www.wikidata.org/entity/Q62636368,Shakespeare's Sonnets,http://www.wikidata.org/entity/Q662550,Shakespeare's sonnets,edition_or_translation_of,1883-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q60,New York City,Point(-74.006111111 40.712777777)
http://www.wikidata.org/entity/Q62656433,Shakespeare's Sonnets,http://www.wikidata.org/entity/Q662550,Shakespeare's sonnets,edition_or_translation_of,1923-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q49145,New Haven,Point(-72.925 41.308333333)
http://www.wikidata.org/entity/Q62656523,The Most Excellent and Lamentable Tragedy of Romeo and Juliet,http://www.wikidata.org/entity/Q83186,Romeo and Juliet,edition_or_translation_of,1917-09-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q49145,New Haven,Point(-72.925 41.308333333)
http://www.wikidata.org/entity/Q63069916,"Twelfth Night, or What You Will",http://www.wikidata.org/entity/Q221211,Twelfth Night,edition_or_translation_of,1922-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q49145,New Haven,Point(-72.925 41.308333333)
http://www.wikidata.org/entity/Q63150951,The Tempest,http://www.wikidata.org/entity/Q86440,The Tempest,edition_or_translation_of,1918-08-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q49145,New Haven,Point(-72.925 41.308333333)
http://www.wikidata.org/entity/Q63213316,The Winter's Tale,http://www.wikidata.org/entity/Q743194,The Winter's Tale,edition_or_translation_of,1918-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q49145,New Haven,Point(-72.925 41.308333333)
http://www.wikidata.org/entity/Q63723164,La tempesta,http://www.wikidata.org/entity/Q86440,The Tempest,edition_or_translation_of,1858-01-01T00:00:00Z,http://www.wikidata.org/entity/Q652,Italian,http://www.wikidata.org/entity/Q495,Turin,Point(7.676111111 45.079166666)
http://www.wikidata.org/entity/Q65660571,Kung Lear,http://www.wikidata.org/entity/Q181598,King Lear,edition_or_translation_of,1984-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9027,Swedish,http://www.wikidata.org/entity/Q1754,Stockholm,Point(18.068611111 59.329444444)
http://www.wikidata.org/entity/Q116995282,Karnabeer,http://www.wikidata.org/entity/Q130283,Macbeth,edition_or_translation_of,1885-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9610,Bangla,http://www.wikidata.org/entity/Q1348,Kolkata,Point(88.37 22.5675)
http://www.wikidata.org/entity/Q116995287,Macbeth,http://www.wikidata.org/entity/Q130283,Macbeth,edition_or_translation_of,1899-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9610,Bangla,http://www.wikidata.org/entity/Q1348,Kolkata,Point(88.37 22.5675)
http://www.wikidata.org/entity/Q120628919,Lear,http://www.wikidata.org/entity/Q181598,King Lear,edition_or_translation_of,1902-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9610,Bangla,http://www.wikidata.org/entity/Q1348,Kolkata,Point(88.37 22.5675)
http://www.wikidata.org/entity/Q124362918,"Mr. William Shakespeare's Comedies, Histories, and Tragedies Faithfully Reproduced in Facsimile from the Edition of 1623",http://www.wikidata.org/entity/Q833645,First Folio,edition_or_translation_of,1910-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q84,London,Point(-0.1275 51.507222222)
http://www.wikidata.org/entity/Q124649038,"Hamlet, the Prince of Denmark",http://www.wikidata.org/entity/Q41567,Hamlet,edition_or_translation_of,2023-01-01T00:00:00Z,http://www.wikidata.org/entity/Q9056,Czech,http://www.wikidata.org/entity/Q14960,Brno,Point(16.608333333 49.195277777)
http://www.wikidata.org/entity/Q124649038,"Hamlet, the Prince of Denmark",http://www.wikidata.org/entity/Q41567,Hamlet,edition_or_translation_of,2023-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q14960,Brno,Point(16.608333333 49.195277777)
http://www.wikidata.org/entity/Q131931011,Venisor Saud (Ed. 1),http://www.wikidata.org/entity/Q206400,The Merchant of Venice,edition_or_translation_of,1925-01-01T00:00:00Z,http://www.wikidata.org/entity/Q29401,Assamese,http://www.wikidata.org/entity/Q199605,Guwahati,Point(91.750238 26.1805876)
http://www.wikidata.org/entity/Q134524663,Q134524663,http://www.wikidata.org/entity/Q83186,Romeo and Juliet,edition_or_translation_of,1891-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1321,Spanish,http://www.wikidata.org/entity/Q1335,Montevideo,Point(-56.191311111 -34.905916666)
http://www.wikidata.org/entity/Q134600611,Q134600611,http://www.wikidata.org/entity/Q41567,Hamlet,edition_or_translation_of,1892-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1321,Spanish,http://www.wikidata.org/entity/Q1335,Montevideo,Point(-56.191311111 -34.905916666)
http://www.wikidata.org/entity/Q134600612,Q134600612,http://www.wikidata.org/entity/Q215750,Julius Caesar,edition_or_translation_of,1892-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1321,Spanish,http://www.wikidata.org/entity/Q1335,Montevideo,Point(-56.191311111 -34.905916666)
http://www.wikidata.org/entity/Q134600644,Q134600644,http://www.wikidata.org/entity/Q181598,King Lear,edition_or_translation_of,1894-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1321,Spanish,http://www.wikidata.org/entity/Q1335,Montevideo,Point(-56.191311111 -34.905916666)
http://www.wikidata.org/entity/Q135779372,Vhenis Nagarcha Vyapari,http://www.wikidata.org/entity/Q131454519,Vhenis Nagarcha Vyapari,edition_or_translation_of,1910-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1571,Marathi,http://www.wikidata.org/entity/Q1156,Mumbai,Point(72.8775 19.075833333)
http://www.wikidata.org/entity/Q136006803,Bhram-Ranga (Ed. 2),http://www.wikidata.org/entity/Q506505,The Comedy of Errors,edition_or_translation_of,1937-01-01T00:00:00Z,http://www.wikidata.org/entity/Q29401,Assamese,http://www.wikidata.org/entity/Q199605,Guwahati,Point(91.750238 26.1805876)
http://www.wikidata.org/entity/Q114797887,Q114797887,http://www.wikidata.org/entity/Q661222,King John,edition_or_translation_of,1865-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114797885,Q114797885,http://www.wikidata.org/entity/Q661222,King John,edition_or_translation_of,1894-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114819514,Q114819514,http://www.wikidata.org/entity/Q463126,Coriolanus,edition_or_translation_of,1893-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114819512,Q114819512,http://www.wikidata.org/entity/Q463126,Coriolanus,edition_or_translation_of,1894-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114819517,Q114819517,http://www.wikidata.org/entity/Q463126,Coriolanus,edition_or_translation_of,1865-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114819538,Q114819538,http://www.wikidata.org/entity/Q463126,Coriolanus,edition_or_translation_of,1864-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114820162,Q114820162,http://www.wikidata.org/entity/Q1195233,A Lover's Complaint,edition_or_translation_of,1949-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114820187,Q114820187,http://www.wikidata.org/entity/Q1195233,A Lover's Complaint,edition_or_translation_of,1893-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114824129,Q114824129,http://www.wikidata.org/entity/Q1398793,The Rape of Lucrece,edition_or_translation_of,1893-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114824141,Q114824141,http://www.wikidata.org/entity/Q1398793,The Rape of Lucrece,edition_or_translation_of,1904-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114825927,Q114825927,http://www.wikidata.org/entity/Q1196220,The Phoenix and the Turtle,edition_or_translation_of,,,,,,
http://www.wikidata.org/entity/Q114825960,Q114825960,http://www.wikidata.org/entity/Q1196220,The Phoenix and the Turtle,edition_or_translation_of,1904-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114825972,Q114825972,http://www.wikidata.org/entity/Q1196220,The Phoenix and the Turtle,edition_or_translation_of,1893-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114832362,Q114832362,http://www.wikidata.org/entity/Q1199790,The Passionate Pilgrim,edition_or_translation_of,1599-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q114832365,Q114832365,http://www.wikidata.org/entity/Q1199790,The Passionate Pilgrim,edition_or_translation_of,1904-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7737,Russian,,,
http://www.wikidata.org/entity/Q117310468,Q117310468,http://www.wikidata.org/entity/Q54800666,The Klingon Hamlet,edition_or_translation_of,2012-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1450506,Canadian French,,,
http://www.wikidata.org/entity/Q117310494,Q117310494,http://www.wikidata.org/entity/Q54800666,The Klingon Hamlet,edition_or_translation_of,2012-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1450506,Canadian French,,,
http://www.wikidata.org/entity/Q117602275,Q117602275,http://www.wikidata.org/entity/Q2527863,Sonnet 18,edition_or_translation_of,,http://www.wikidata.org/entity/Q9610,Bangla,,,
http://www.wikidata.org/entity/Q117711840,Ingratitude,http://www.wikidata.org/entity/Q62657613,"Blow, blow, thou winter wind",edition_or_translation_of,1904-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,,,
http://www.wikidata.org/entity/Q117711850,Ingratitude,http://www.wikidata.org/entity/Q62657613,"Blow, blow, thou winter wind",edition_or_translation_of,2007-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,,,
