work,workLabel,origLang,origLangLabel,author,authorLabel,translatedWork,translatedWorkLabel,transLang,transLangLabel,pubPlace,pubPlaceLabel,pubCountry,pubCountryLabel
http://www.wikidata.org/entity/Q15076530,The Luminaries,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3050522,Eleanor Catton,http://www.wikidata.org/entity/Q104878493,"Wszystko, co lsni (2014, Wydawnictwo Literackie)",http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q31487,Kraków,http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q59590029,Cornelius Krieghoff: The Habitant Farm,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q6256012,John Russell Harper,http://www.wikidata.org/entity/Q59589859,Cornelius Krieghoff: The Habitant Farm,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q1930,Ottawa,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q15076530,The Luminaries,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3050522,Eleanor Catton,http://www.wikidata.org/entity/Q104877920,"De strålende (2015, Cappelen Damm)",http://www.wikidata.org/entity/Q9043,Norwegian,http://www.wikidata.org/entity/Q25804,Trondheim,http://www.wikidata.org/entity/Q20,Norway
http://www.wikidata.org/entity/Q15076530,The Luminaries,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3050522,Eleanor Catton,http://www.wikidata.org/entity/Q104878803,"Al wat schittert (2014, Anthos)",http://www.wikidata.org/entity/Q7411,Dutch,http://www.wikidata.org/entity/Q727,Amsterdam,http://www.wikidata.org/entity/Q55,Netherlands
http://www.wikidata.org/entity/Q15076530,The Luminaries,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3050522,Eleanor Catton,http://www.wikidata.org/entity/Q104876750,"[The Luminaries] (2015, Polaris)",http://www.wikidata.org/entity/Q36510,Modern Greek,http://www.wikidata.org/entity/Q1524,Athens,http://www.wikidata.org/entity/Q41,Greece
http://www.wikidata.org/entity/Q1323801,Deadhouse Gates,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q428755,Steven Erikson,http://www.wikidata.org/entity/Q112704688,Q112704688,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q112892732,Tragedy,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q5132994,Clifford Leech,http://www.wikidata.org/entity/Q112892991,al-Kūmīdȳā wa-al-Trājīdīyā,http://www.wikidata.org/entity/Q13955,Arabic,http://www.wikidata.org/entity/Q35178,Kuwait City,http://www.wikidata.org/entity/Q817,Kuwait
http://www.wikidata.org/entity/Q3623828,The Sisters Brothers,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3702063,Patrick deWitt,http://www.wikidata.org/entity/Q107228267,Q107228267,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q2145,Quebec City,http://www.wikidata.org/entity/Q16,Canada
http://www.wikidata.org/entity/Q2906615,Blind Lake,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q240786,Robert Charles Wilson,http://www.wikidata.org/entity/Q87411328,Blind Lake,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q565911,Anne of Green Gables,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q273034,Lucy Maud Montgomery,http://www.wikidata.org/entity/Q65524559,Anne på Grönkulla,http://www.wikidata.org/entity/Q9027,Swedish,http://www.wikidata.org/entity/Q2167,Lund,http://www.wikidata.org/entity/Q34,Sweden
http://www.wikidata.org/entity/Q1137974,The C Programming Language,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q92608,Brian Kernighan,http://www.wikidata.org/entity/Q63565609,El lenguaje de programación C,http://www.wikidata.org/entity/Q1321,Spanish,http://www.wikidata.org/entity/Q219574,Naucalpan de Juárez Municipality,http://www.wikidata.org/entity/Q96,Mexico
http://www.wikidata.org/entity/Q15076530,The Luminaries,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3050522,Eleanor Catton,http://www.wikidata.org/entity/Q104878567,"Os Luminares (2014, Editora Globo)",http://www.wikidata.org/entity/Q750553,Brazilian Portuguese,http://www.wikidata.org/entity/Q174,São Paulo,http://www.wikidata.org/entity/Q155,Brazil
http://www.wikidata.org/entity/Q15076530,The Luminaries,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3050522,Eleanor Catton,http://www.wikidata.org/entity/Q104878878,"[The Luminaries] (2014, Labyrinth Press)",http://www.wikidata.org/entity/Q7918,Bulgarian,http://www.wikidata.org/entity/Q649,Moscow,http://www.wikidata.org/entity/Q159,Russia
http://www.wikidata.org/entity/Q15076530,The Luminaries,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3050522,Eleanor Catton,http://www.wikidata.org/entity/Q104878643,"Valontuojat (2014, Siltala)",http://www.wikidata.org/entity/Q1412,Finnish,http://www.wikidata.org/entity/Q1757,Helsinki,http://www.wikidata.org/entity/Q33,Finland
http://www.wikidata.org/entity/Q2265892,The Presentation of Self in Everyday Life,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q314471,Erving Goffman,http://www.wikidata.org/entity/Q108854388,Q108854388,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q142,France
http://www.wikidata.org/entity/Q2420701,Anne's House of Dreams,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q273034,Lucy Maud Montgomery,http://www.wikidata.org/entity/Q100701542,Q100701542,http://www.wikidata.org/entity/Q9027,Swedish,http://www.wikidata.org/entity/Q2167,Lund,http://www.wikidata.org/entity/Q34,Sweden
http://www.wikidata.org/entity/Q5436486,Farthing,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q438330,Jo Walton,http://www.wikidata.org/entity/Q100718039,英雄たちの朝　ファージング I,http://www.wikidata.org/entity/Q5287,Japanese,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q17,Japan
http://www.wikidata.org/entity/Q15076530,The Luminaries,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3050522,Eleanor Catton,http://www.wikidata.org/entity/Q104878402,"Las luminarias (2014, Siruela)",http://www.wikidata.org/entity/Q1321,Spanish,http://www.wikidata.org/entity/Q2807,Madrid,http://www.wikidata.org/entity/Q29,Spain
http://www.wikidata.org/entity/Q15076530,The Luminaries,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q3050522,Eleanor Catton,http://www.wikidata.org/entity/Q104876586,"[The Luminaries] (2016, Dasan Books)",http://www.wikidata.org/entity/Q9176,Korean,http://www.wikidata.org/entity/Q8684,Seoul,http://www.wikidata.org/entity/Q884,South Korea
http://www.wikidata.org/entity/Q1352419,Anne of the Island,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q273034,Lucy Maud Montgomery,http://www.wikidata.org/entity/Q108946517,Q108946517,http://www.wikidata.org/entity/Q809,Polish,http://www.wikidata.org/entity/Q270,Warsaw,http://www.wikidata.org/entity/Q36,Poland
http://www.wikidata.org/entity/Q3227472,The Outlander,http://www.wikidata.org/entity/Q150,French,http://www.wikidata.org/entity/Q3104190,Germaine Guèvremont,http://www.wikidata.org/entity/Q61767363,The Outlander,http://www.wikidata.org/entity/Q1860,English,http://www.wikidata.org/entity/Q60,New York City,http://www.wikidata.org/entity/Q30,United States
